iter	Passed	Remaining
644	1391	765
645	1392	763
646	1394	760
647	1396	758
648	1398	756
649	1401	754
650	1403	752
651	1404	749
652	1406	747
653	1408	745
654	1410	743
655	1413	741
656	1414	738
657	1416	736
658	1418	734
659	1421	732
660	1423	730
661	1426	728
662	1427	725
663	1429	723
664	1432	721
665	1433	719
666	1435	716
667	1437	714
668	1439	712
669	1440	709
670	1443	707
671	1445	705
672	1446	702
673	1448	700
674	1450	698
675	1452	696
676	1454	693
677	1456	691
678	1458	689
679	1459	686
680	1462	684
681	1464	682
682	1465	680
683	1467	677
684	1469	675
685	1471	673
686	1473	671
687	1475	669
688	1477	666
689	1478	664
690	1480	662
691	1482	659
692	1484	657
693	1486	655
694	1488	653
695	1491	651
696	1494	649
697	1496	647
698	1497	644
699	1500	643
700	1502	640
701	1504	638
702	1507	636
703	1509	634
704	1511	632
705	1514	630
706	1516	628
707	1520	627
708	1522	624
709	1524	622
710	1526	620
711	1528	618
712	1531	616
713	1533	614
714	1534	611
715	1537	609
716	1539	607
717	1540	605
718	1543	603
719	1545	600
720	1546	598
721	1549	596
722	1550	594
723	1552	591
724	1554	589
725	1556	587
726	1558	585
727	1560	583
728	1562	580
729	1564	578
730	1566	576
731	1569	574
732	1571	572
733	1574	570
734	1576	568
735	1577	565
736	1580	563
737	1581	561
738	1583	559
739	1586	557
740	1588	555
741	1590	553
742	1593	551
743	1595	549
744	1598	547
745	1601	545
746	1604	543
747	1606	541
748	1608	538
749	1610	536
750	1612	534
751	1614	532
752	1616	530
753	1618	528
754	1619	525
755	1621	523
756	1624	521
757	1626	519
758	1628	517
759	1630	514
760	1632	512
761	1635	510
762	1637	508
763	1638	506
764	1641	504
765	1643	502
766	1645	500
767	1648	498
768	1650	495
769	1652	493
770	1654	491
771	1656	489
772	1657	486
773	1658	484
774	1661	482
775	1662	480
776	1664	477
777	1666	475
778	1668	473
779	1670	471
780	1672	468
781	1674	466
782	1675	464
783	1676	462
784	1678	459
785	1680	457
786	1682	455
787	1683	453
788	1685	450
789	1687	448
790	1688	446
791	1690	444
792	1693	441
793	1694	439
794	1696	437
795	1698	435
796	1700	433
797	1701	430
798	1703	428
799	1705	426
800	1707	424
801	1709	421
802	1711	419
803	1713	417
804	1715	415
805	1718	413
806	1721	411
807	1723	409
808	1725	407
809	1727	405
810	1729	403
811	1731	400
812	1733	398
813	1736	396
814	1738	394
815	1741	392
816	1743	390
817	1746	388
818	1748	386
819	1750	384
820	1753	382
821	1755	380
822	1757	378
823	1759	375
824	1761	373
825	1764	371
826	1767	369
827	1769	367
828	1771	365
829	1776	363
830	1779	361
831	1780	359
832	1783	357
833	1785	355
834	1787	353
835	1789	351
836	1791	348
837	1794	346
838	1796	344
839	1798	342
840	1800	340
841	1803	338
842	1805	336
843	1808	334
844	1810	332
845	1813	330
846	1815	327
847	1817	325
848	1835	326
849	1836	324
850	1838	321
851	1841	319
852	1843	317
853	1846	315
854	1848	313
855	1851	311
856	1853	309
857	1855	307
858	1857	304
859	1860	302
860	1864	300
861	1866	298
862	1868	296
863	1872	294
864	1874	292
865	1877	290
866	1879	288
867	1882	286
868	1887	284
869	1891	282
870	1893	280
871	1895	278
872	1898	276
873	1903	274
874	1906	272
875	1910	270
876	1915	268
877	1920	266
878	1922	264
879	1926	262
880	1931	260
881	1934	258
882	1937	256
883	1940	254
884	1942	252
885	1945	250
886	1947	248
887	1951	246
888	1954	244
889	1957	241
890	1959	239
891	1961	237
892	1966	235
893	1968	233
894	1970	231
895	1973	229
896	1975	226
897	1978	224
898	1980	222
899	1984	220
900	1986	218
901	1989	216
902	1992	214
903	1995	211
904	1998	209
905	2001	207
906	2005	205
907	2008	203
908	2010	201
909	2012	199
910	2015	196
911	2018	194
912	2020	192
913	2022	190
914	2024	188
915	2028	186
916	2030	183
917	2034	181
918	2037	179
919	2040	177
920	2042	175
921	2044	173
922	2047	170
923	2050	168
924	2053	166
925	2055	164
926	2057	162
927	2060	159
928	2062	157
929	2066	155
930	2068	153
931	2071	151
932	2074	148
933	2078	146
934	2082	144
935	2085	142
936	2088	140
937	2091	138
938	2093	135
939	2096	133
940	2099	131
941	2105	129
942	2109	127
943	2112	125
944	2115	123
945	2117	120
946	2120	118
947	2123	116
948	2126	114
949	2129	112
950	2133	109
951	2135	107
952	2138	105
953	2142	103
954	2146	101
955	2149	98
956	2152	96
957	2154	94
958	2157	92
959	2160	90
960	2163	87
961	2166	85
962	2169	83
963	2172	81
964	2175	78
965	2177	76
966	2180	74
967	2183	72
968	2185	69
969	2187	67
970	2190	65
971	2193	63
972	2197	60
973	2202	58
974	2209	56
975	2211	54
976	2213	52
977	2216	49
978	2218	47
979	2221	45
980	2224	43
981	2227	40
982	2229	38
983	2231	36
984	2234	34
985	2236	31
986	2239	29
987	2241	27
988	2244	24
989	2246	22
990	2248	20
991	2251	18
992	2253	15
993	2254	13
994	2257	11
995	2259	9
996	2261	6
997	2264	4
998	2265	2
999	2267	0
